strain	bacteria	date	country	location	host	isolation_source	clade_membership	Bioproject	BioSample	Assembly	AssemblyStatus	coverage	contig_count	latitude	longitude	checkm_completeness	checkm_contamination	data_origin	sample_type	sample_type_intern
09RA5721.fna	Bacillus anthracis	2009-XX-XX	Germany	Bavaria	Bos taurus		B.Br.004_(FrenchB)	PRJNA656733	SAMN15801190	GCA_017814005.1	Scaffold	70	32	47.953877	11.984475	99.43	0.29	clinical	NCBI	
1033.fna	Bacillus anthracis	2001-04-12	Chile	Valdivia	Bos sp.	Carcass	A.Br.073	PRJNA635616	SAMN15046868	GCA_016484445.1	Contig	30.4	55	-40	-72	99.43	0.29	clinical	NCBI	
11962596.fna	Bacillus anthracis	1978-XX-XX	Japan	Shizuoka			B.Br.008_(KrugerB)	PRJDB8367	SAMD00171951	GCA_006742565.1	Complete	188	3	34.9332488	138.0955398	99.43	0.29	unknown	NCBI	
12RA1944.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370837	GCA_029694465.1	Contig	120	116	51.1638175	10.4478313	99.43	0.86	unknown	NCBI	
12RA1945_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370838	GCA_029694485.1	Contig	118	165	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
12RA1945.fna	Bacillus anthracis	2012-XX-XX	Germany	Stendal	Bos taurus	Lymph Node	A.Br.081_(Ames)	PRJNA656733	SAMN15801191	GCA_017813975.1	Scaffold	44	41	52.990538	11.679493	99.43	0.86	clinical	NCBI	
12RA1949_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370839	GCA_029694445.1	Contig	127	161	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
12RA1949.fna	Bacillus anthracis	2012-XX-XX	Germany	Stendal	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA656733	SAMN15801192	GCA_017813995.1	Contig	40	64	52.990538	11.679493	99.43	0.86	clinical	NCBI	
14RA5914_2021.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA656733	SAMN15801194	GCA_017963445.1	Scaffold	43	106	51.2016	11.83572	99.43	0.29	clinical	NCBI	
14RA5914_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370840	GCA_029694425.1	Contig	122	154	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
14RA5914.fna	Bacillus anthracis	2014-04-16	Germany	Dobichau	Bos taurus	Spleen	A.Br.081_(Ames)	PRJNA397960	SAMN07498358	GCA_002277915.1	Complete	100	3	51.1999277	11.8331395	99.43	0.86	clinical	NCBI	
14RA5915_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370841	GCA_029694405.1	Contig	117	139	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
14RA5915.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Kidney	A.Br.081_(Ames)	PRJNA656733	SAMN15801195	GCA_017963435.1	Scaffold	48	55	51.2016	11.83572	99.43	0.86	clinical	NCBI	
14RA5916_2023.fna	Bacillus anthracis	20XX-XX-XX	Germany	Germany			A.Br.081_(Ames)	PRJNA514245	SAMEA112370842	GCA_029694245.1	Contig	116	162	51.1638175	10.4478313	99.43	0.29	unknown	NCBI	
14RA5916.fna	Bacillus anthracis	2014-XX-XX	Germany	Dobichau	Bos taurus	Synovia	A.Br.081_(Ames)	PRJNA656733	SAMN15801196	GCA_017963425.1	Scaffold	49	74	51.2016	11.83572	99.43	0.86	clinical	NCBI	
17OD930.fna	Bacillus anthracis	2017-05-15	Switzerland	Kanton-of-Jura	Bos taurus	Placenta	B.Br.004_(FrenchB)	PRJNA454788	SAMN09041402	GCA_006088855.1	Complete	600	3	47.42	7.08	99.43	0.29	clinical	NCBI	
188678-1.fna	Bacillus anthracis	1993-XX-XX	Netherlands	Netherlands	Bos taurus		A.Br.093	PRJNA695105	SAMN18241471	GCA_022221145.1	Complete	78	3	52.2434979	5.6343227	99.43	0.29	clinical	NCBI	
2000031006.fna	Bacillus anthracis	1956-10-16	USA	New Mexico			A.Br.020	PRJNA264742	SAMN03165110	GCA_000782875.1	Scaffold	51	93	34.5708167	-105.993007	99.43	0.29	unknown	NCBI	
2000031008.fna	Bacillus anthracis	20XX-XX-XX	USA	Alabama			A.Br.054	PRJNA264742	SAMN03165111	GCA_000793525.1	Scaffold	44	80	33.2588817	-86.8295337	99.4	0.29	unknown	NCBI	
2000031021.fna	Bacillus anthracis	20XX-XX-XX	USA	Louisiana		Soil	C.Br.002	PRJNA243523	SAMN02736984	GCA_000742655.1	Complete	303	2	30.8703881	-92.007126	98.85	0.29	environment	NCBI	
2000031023.fna	Bacillus anthracis	1957-05-04			Bos taurus		A.Br.066	PRJNA264742	SAMN03165112	GCA_000782885.1	Scaffold	50	95			99.43	0.29	clinical	NCBI	
